% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 28 2023, 13:02"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
40,18.000000000000004,4.000001203368849,40,4,1.2033688490120653E-6,1.8000000000000003
40,19,4.000000501324474,40,4,5.013244743778955E-7,1.9
40,20,4.000000208963245,40,4,2.0896324492980511E-7,2
45,4,4.341931953138821,45,4,0.34193195313882097,0.4
45,5,4.144438168671945,45,4,0.14443816867194492,0.5
45,6,4.06037387590336,45,4,0.06037387590335985,0.6
45,7,4.025123711320255,45,4,0.025123711320254927,0.7000000000000001
45,8,4.010437922125696,45,4,0.010437922125696275,0.8
45,9.000000000000002,4.004334495314438,45,4,0.0043344953144384135,0.9000000000000001
45,10,4.001800044667411,45,4,0.001800044667411349,1
45,11,4.000747740190334,45,4,7.477401903344116E-4,1.0999999999999999
45,12,4.000310727179926,45,4,3.1072717992586263E-4,1.2
45,13.000000000000002,4.000129179250175,45,4,1.2917925017497112E-4,1.3
45,14,4.000053728164069,45,4,5.372816406890024E-5,1.4000000000000001
45,15,4.000022357694395,45,4,2.2357694395402916E-5,1.5
45,16,4.000009308168796,45,4,9.308168795740812E-6,1.6
45,17,4.000003877241568,45,4,3.877241567806777E-6,1.7000000000000002
45,18.000000000000004,4.000001615958165,45,4,1.6159581646135734E-6,1.8000000000000003
45,19,4.000000673868263,45,4,6.738682634122029E-7,1.9
45,20,4.000000281176177,45,4,2.811761765642018E-7,2
50,4,4.43711084698731,50,4,0.4371108469873102,0.4
50,5,4.1857911945171,50,4,0.18579119451710024,0.5
50,6,4.077900507111317,50,4,0.07790050711131702,0.6
50,7,4.032473829179144,50,4,0.03247382917914443,0.7000000000000001
50,8,4.013507168273281,50,4,0.013507168273281245,0.8
50,9.000000000000002,4.005614217994106,50,4,0.005614217994105886,0.9000000000000001
50,10,4.002333444076833,50,4,0.0023334440768332243,1
50,11,4.000970102977489,50,4,9.701029774893399E-4,1.0999999999999999
50,12,4.000403453191202,50,4,4.034531912022743E-4,1.2
50,13.000000000000002,4.00016786725027,50,4,1.6786725027007066E-4,1.3
50,14,4.000069879529705,50,4,6.987952970494149E-5,1.4000000000000001
50,15,4.000029103931974,50,4,2.910393197375072E-5,1.5
50,16,4.0000121276147,50,4,1.2127614700041534E-5,1.6
50,17,4.000005056280597,50,4,5.0562805968823454E-6,1.7000000000000002
50,18.000000000000004,4.000002109339432,50,4,2.1093394320104153E-6,1.8000000000000003
50,19,4.000000880446486,50,4,8.804464863843009E-7,1.9
50,20,4.000000367744615,50,4,3.677446152039465E-7,2
55,4,4.5454027012228275,55,4,0.5454027012228275,0.4
55,5,4.233457161354204,55,4,0.23345716135420425,0.5
55,6,4.098225017188737,55,4,0.09822501718873689,0.6
55,7,4.04102388607131,55,4,0.04102388607130969,0.7000000000000001
55,8,4.0170839937462635,55,4,0.01708399374626346,0.8
55,9.000000000000002,4.007107520431602,55,4,0.007107520431602232,0.9000000000000001
55,10,4.002956549385207,55,4,0.0029565493852068414,1
55,11,4.001230128747703,55,4,0.0012301287477027856,1.0999999999999999
55,12,4.000511991346612,55,4,5.119913466122838E-4,1.2
55,13.000000000000002,4.000213198459246,55,4,2.131984592459446E-4,1.3
55,14,4.000088824278615,55,4,8.88242786150073E-5,1.4000000000000001
55,15,4.000037025258113,55,4,3.702525811277724E-5,1.5
55,16,4.000015441725925,55,4,1.5441725924603134E-5,1.6
55,17,4.0000064437067415,55,4,6.443706741521282E-6,1.7000000000000002
55,18.000000000000004,4.000002690578044,55,4,2.690578043917924E-6,1.8000000000000003
55,19,4.000001124085944,55,4,1.1240859443262252E-6,1.9
55,20,4.00000046996784,55,4,4.69967839755725E-7,2
60,4,4.66695715266821,60,4,0.6669571526682097,0.4
60,5,4.2876798800457765,60,4,0.2876798800457765,0.5
60,6,4.121506456003311,60,4,0.12150645600331078,0.6
60,7,4.0508511608677304,60,4,0.05085116086773045,0.7000000000000001
60,8,4.021203013532154,60,4,0.021203013532153925,0.8
60,9.000000000000002,4.008829446658044,60,4,0.008829446658044304,0.9000000000000001
60,10,4.003675823529042,60,4,0.003675823529041722,1
60,11,4.001530582072159,60,4,0.00153058207215917,1.0999999999999999
60,12,4.000637521948567,60,4,6.375219485672545E-4,1.2
60,13.000000000000002,4.0002656770097085,60,4,2.6567700970847596E-4,1.3
60,14,4.00011077793273,60,4,1.107779327300662E-4,1.4000000000000001
60,15,4.000046213820544,60,4,4.621382054370571E-5,1.5
60,16,4.00001928992964,60,4,1.9289929640287085E-5,1.6
